property_id,source,title,property_type,operation,price_mxn,built_area_m2,land_area_m2,bedrooms,bathrooms,parking_spaces,age_years,neighborhood,municipality,state,latitude,longitude,listing_date,price_per_m2,distance_to_center_km,amenities_500m,amenities_1km,schools_1km,hospitals_1km,commerce_1km,log_price_mxn,is_new_property
AGS-0001,curated_fallback,Casa en Morelos,casa,venta,2454000.0,136.3,137.0,3,3.0,2.0,9.0,Morelos,Aguascalientes,Aguascalientes,21.851636,-102.299126,2026-05-27,18004.402054292,3.442826370102976,0,0,0,0,0,14.713230311750873,0
AGS-0002,curated_fallback,Casa en Villas de Nuestra Senora,casa,venta,2017000.0,106.6,111.8,3,2.0,1.0,9.0,Villas de Nuestra Senora,Aguascalientes,Aguascalientes,21.935189,-102.25387,2026-05-27,18921.200750469045,7.098859916971018,1,1,0,0,0,14.517122312722046,0
AGS-0003,curated_fallback,Casa en San Cayetano,casa,venta,2805000.0,132.9,195.7,3,2.0,2.0,4.0,San Cayetano,Aguascalientes,Aguascalientes,21.89029,-102.291131,2026-05-27,21106.09480812641,0.9452843961711327,0,2,1,1,0,14.846914453445109,0
AGS-0004,curated_fallback,Casa En Condominio en Bosques del Prado,casa en condominio,venta,4509000.0,166.8,197.5,4,4.0,3.0,20.0,Bosques del Prado,Aguascalientes,Aguascalientes,21.915947,-102.297909,2026-05-27,27032.374100719422,3.852361311539083,0,1,1,0,0,15.321586179181862,0
AGS-0005,curated_fallback,Departamento en Jardines de la Concepcion,departamento,venta,4894000.0,164.2,164.2,5,4.0,2.0,18.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.911253,-102.316895,2026-05-27,29805.115712545678,4.187679781428653,0,0,0,0,0,15.403520727316568,0
AGS-0006,curated_fallback,Casa En Condominio en San Cayetano,casa en condominio,venta,3253000.0,130.3,180.7,4,3.0,2.0,2.0,San Cayetano,Aguascalientes,Aguascalientes,21.892589,-102.27221,2026-05-27,24965.464313123557,2.3327825593267164,0,0,0,0,0,14.995088512863987,1
AGS-0007,curated_fallback,Casa en Ojocaliente,casa,venta,2141000.0,105.7,99.5,3,3.0,2.0,1.0,Ojocaliente,Aguascalientes,Aguascalientes,21.883263,-102.253656,2026-05-27,20255.439924314094,3.91856626944197,0,0,0,0,0,14.576784034643172,1
AGS-0008,curated_fallback,Casa en Jardines de la Concepcion,casa,venta,5415000.0,202.1,241.9,5,4.0,2.0,3.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.919227,-102.318745,2026-05-27,26793.666501731816,5.016254583363797,0,1,0,0,1,15.504683623089418,1
AGS-0009,curated_fallback,Casa en Villas de Nuestra Senora,casa,venta,2514000.0,165.9,212.7,4,2.0,2.0,10.0,Villas de Nuestra Senora,Aguascalientes,Aguascalientes,21.934842,-102.245557,2026-05-27,15153.707052441228,7.572913301448333,0,1,0,0,0,14.737386065904724,0
AGS-0011,curated_fallback,Casa en Morelos,casa,venta,2727000.0,131.3,118.5,4,3.0,3.0,14.0,Morelos,Aguascalientes,Aguascalientes,21.861154,-102.298872,2026-05-27,20769.230769230766,2.415261762153547,0,0,0,0,0,14.818713028530995,0
AGS-0012,curated_fallback,Casa en Morelos,casa,venta,3116000.0,161.7,169.7,4,2.0,3.0,26.0,Morelos,Aguascalientes,Aguascalientes,21.86937,-102.289021,2026-05-27,19270.253555967844,1.407539719468722,0,0,0,0,0,14.952061006896987,0
AGS-0014,curated_fallback,Casa en Trojes de Alonso,casa,venta,2581000.0,83.3,104.6,3,2.0,2.0,6.0,Trojes de Alonso,Aguascalientes,Aguascalientes,21.928236,-102.298214,2026-05-27,30984.393757503003,5.208338361073805,0,0,0,0,0,14.763687866147402,0
AGS-0015,curated_fallback,Departamento en Jardines de la Concepcion,departamento,venta,1418000.0,45.0,45.0,2,2.0,1.0,3.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.909281,-102.323579,2026-05-27,31511.11111111111,4.4970684675362875,1,1,0,0,0,14.16475869129258,1
AGS-0016,curated_fallback,Casa en Villas de Nuestra Senora,casa,venta,3187000.0,175.2,167.0,5,3.0,3.0,20.0,Villas de Nuestra Senora,Aguascalientes,Aguascalientes,21.920417,-102.24924,2026-05-27,18190.639269406394,6.126815908011986,0,0,0,0,0,14.974590907174134,0
