property_id,source,title,property_type,operation,price_mxn,built_area_m2,land_area_m2,bedrooms,bathrooms,parking_spaces,age_years,neighborhood,municipality,state,latitude,longitude,listing_date
AGS-0001,curated_fallback,Casa en Morelos,casa,venta,2454000.0,136.3,137.0,3,3.0,2.0,9.0,Morelos,Aguascalientes,Aguascalientes,21.851636,-102.299126,2026-05-27
AGS-0002,curated_fallback,Casa en Villas de Nuestra Senora,casa,venta,2017000.0,106.6,111.8,3,2.0,1.0,9.0,Villas de Nuestra Senora,Aguascalientes,Aguascalientes,21.935189,-102.25387,2026-05-27
AGS-0003,curated_fallback,Casa en San Cayetano,casa,venta,2805000.0,132.9,195.7,3,2.0,2.0,4.0,San Cayetano,Aguascalientes,Aguascalientes,21.89029,-102.291131,2026-05-27
AGS-0004,curated_fallback,Casa En Condominio en Bosques del Prado,casa en condominio,venta,4509000.0,166.8,197.5,4,4.0,3.0,20.0,Bosques del Prado,Aguascalientes,Aguascalientes,21.915947,-102.297909,2026-05-27
AGS-0005,curated_fallback,Departamento en Jardines de la Concepcion,departamento,venta,4894000.0,164.2,164.2,5,4.0,2.0,18.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.911253,-102.316895,2026-05-27
AGS-0006,curated_fallback,Casa En Condominio en San Cayetano,casa en condominio,venta,3253000.0,130.3,180.7,4,,2.0,2.0,San Cayetano,Aguascalientes,Aguascalientes,21.892589,-102.27221,2026-05-27
AGS-0007,curated_fallback,Casa en Ojocaliente,casa,venta,2141000.0,105.7,99.5,3,3.0,2.0,1.0,Ojocaliente,Aguascalientes,Aguascalientes,21.883263,-102.253656,2026-05-27
AGS-0008,curated_fallback,Casa en Jardines de la Concepcion,casa,venta,5415000.0,202.1,241.9,5,4.0,2.0,3.0,Jardines de la Concepcion,Aguascalientes,Aguascalientes,21.919227,-102.318745,2026-05-27
AGS-0009,curated_fallback,Casa en Villas de Nuestra Senora,casa,venta,2514000.0,165.9,212.7,4,2.0,2.0,10.0,Villas de Nuestra Senora,Aguascalientes,Aguascalientes,21.934842,-102.245557,2026-05-27
AGS-0010,curated_fallback,Casa en La Rioja,casa,venta,6932000.0,280.9,351.4,5,4.0,4.0,11.0,La Rioja,Aguascalientes,Aguascalientes,21.837291,-102.336304,2026-05-27
